kataba-write,katabtu,katabta,katabti,kataba,katabat,katabnaa,katabtum,katabtunna,katabuu,katabna,aktubu,taktubu,taktubiyna,yaktubu,taktubu,naktubu,taktubuuna,taktubna,yaktubuuna,yaktubna
atay-come,ataytu,atayta,atayti,atay,atat,ataynaa,ataytum,ataytunna,ataw,atayna,aatiy,ta'tiy,ta'tiyna,ya'tiy,ta'tiy,na'tiy,ta'tuuna,ta'tiyna,ya'tuuna,ya'tiyna
athara-choose,athartu,atharta,atharti,athara,atharat,atharnaa,athartum,athartunna,atharuu,atharna,athiru,ta'thiru,ta'thiriyna,ya'thiru,ta'thiru,na'thiru,ta'thiruuna,ta'thirna,ya'thiruuna,ya'thirna
akhadha-take,akhadhtu,akhadhta,akhadhti,akhadha,akhadhat,akhadhnaa,akhadhtum,akhadhtunna,akhadhuu,akhadhna,aakhudhu,ta'khudhu,ta'khudhiyna,ya'khudhu,ta'khudhu,na'khudhu,ta'khudhuuna,ta'khudhna,ya'khudhuuna,ya'khudhna
adhiya-injure,adhiytu,adhiyta,adhiyti,adhiya,adhiyat,adhiynaa,adhiytum,adhiytunna,adhuu,adhiyna,aadhaa,ta'dhaa,ta'dhayna,ya'dhaa,ta'dhaa,na'dhaa,ta'dhawna,ta'dhayna,ya'dhawna,ya'dhayna
amara-command,amartu,amarta,amarti,amara,amarat,amarnaa,amartum,amartunna,amaruu,amarna,amuru,ta'muru,ra'muriyna,ya'muru,ta'muru,na'muru,ta'muruuna,ta'murna,ya'muruuna,ya'murna
amana-faithful,amantu,amanta,amanti,amana,amanat,amannaa,amantum,amantunna,amanuu,amanna,aminu,ta'minu,ta'miniyna,ya'minu,ta'minu,na'minu,ta'minuuna,ta'minna,ya'minuuna,ya'minna
akala-eat,akltu,akalta,akalti,akala,akalat,akalnaa,akaltum,akaltunna,akaluu,akalna,aakulu,ta'kulu,ta'kuliyna,ya'kulu,ta'kulu,na'kulu,ta'kulluuna,ta'kulna,ya'kuluuna,ya'kulna
alaha-deify,alahtu,alahta,alahti,alaha,alahat,alahnaa,alahtum,alahtunna,alahuu,alahna,aalahu,ta'lahu,ta'lahiyna,ya'lahu,ta'lahu,na'lahu,ta'lahuuna,ta'lahna,ya'lahuuna,ya'lahna
baa-A-sell,bi'tu,bi'ta,bi'ti,baa'A,baa'At,bi'naa,bi'tum,bi'tunna,baa'UU,bi'na,abiy'U,tabiy'U,tabiy'Iyna,yabiy'U,tabiy'U,nabiy'U,tabiy'Uuna,tabi;na,yabiy'Uuna,yabi'na
bada-a-begin,bada'tu,bada'ta,bada'ti,bada'a,bada'at,bada'naa,bada'tum,bada'tunna,bada'uu,bada'na,abda'u,tabda'u,tabda'iyna,yabda'u,tabda'u,nabda'u,tabda'uuna,tabda'na,yabda'uuna,yabda'na
baria-free,bari'tu,bari'ta,bari'ti,bari'a,bari'at,bari'naa,bari'tum,bari'tunna,bari'uu,bari''na,tubSiru,tabra'u,tabra'iyna,yabra'u,tabra'u,nabra'u,tabrauuna,tabra'na,yabrauuna,yabra'na
baSara-see,baSartu,baSarta,baSarti,baSara,baSarat,baSarnaa,baSartum,baSartunna,baSaruu,baSarna,ubSiru,tubSiru,tubSiriyna,yubSiru,tubSiru,nubSiru,tubSiruuna,tubSirna,yubSiruuna,yubSirna
taraka-leave,taraktu,tarakta,tarakti,taraka,tarakat,taraknaa,taraktum,taraktunna,tarakuu,tarakna,atruku,tatruku,tatrukiyna,yatruku,tatruku,natruku,tatrukuuna,tatrukna,yatrukunna,yatrukna
jaa-a-come,ji'tu,ji'ta,ji'ti,jaa'a,jaa'at,ji'naa,ji'tum,ji'tunna,jaa'uu,ji'na,ajiy'u,tajiy'u,tajiy'iyna,yajiy'u,tajiy'u,najiy'u,tajiy'uuna,taji'na,yajiy'uuna,yaji'na
jahada-strive,jahadtu,jahadta,jahadti,jahada,jahadat,jahadnaa,jahadtum,jahadtunna,jahaduu,jahadna,ajhudu,tajhudu,tajhudiyna,yajhudu,tajhudu,najhudu,tajhuduuna,tajhudna,yajhuduuna,yajhudna
Hasiba-suppose,Haibtu,Hasibta,Hasibti,Hasiba,Hasibat,Hasibnaa,Hasibtum,Hasibtunna,Hasibuu,Hasibna,aHsibu,taHsibu,taHsibiyna,yaHsibu,taHsibu,naHsibu,taHsibuuna,taHsibna,yaHsibuuna,yaHsibna
Hakama-judge,Hakamtu,Hakamta,Hakamti,Hakama,Hakamat,Hakamnaa,Hakamtum,Hakamtunna,Hakamuu,Hakamna,aHkumu,taHkumu,taHkumiyna,yaHkumu,taHkumu,naHkumu,taHkumuuna,taHkumna,yaHkumuua,yaHkumna
Hamala-carry,Hamaltu,Hamalta,Hamalti,Hamala,Hamalat,Hamalnaa,Hamaltum,Hamaltunna,Hamaluu,Hamalna,aHmilu,taHmilu,taHmilyna,yaHmilu,taHmilu,naHmilu,taHmiluuna,taHmilna,yaHmiluuna,yaHmilna
Hayiya-live,Hayiytu,Hayiyta,Hayiyti,Hayiya,Hayiyat,Hayiynaa,Hayiytum,Hayiytunna,Hayuu,Hayiyna,aHyaa,taHyaa,taHyayna,yaHyaa,taHyaa,naHyaa,taHyawna,taHyayna,yaHyawna,yaHyayna
khajila-ashamed of,khajiltu,khajilta,khajilti,khajila,khajilat,khajilnaa,khajiltum,khajiltunna,khajiluu,khajilna,akhjalu,takhjalu,takhjaliyna,yakhjalu,takhjalu,nakhjalu,takhjaluuna,takhjalna,yakhjaluuna,yakhjalna
